step,Review Area,UCOA LINE/AREA of Report,Districts/ Charters,Check ,Support,Suggested Method/Notes,Disapprove?
1,Review Prep,Picture,,Cash report excel uploaded to FTS,"Statute
22-8-13.2
NMAC
6.20.2.10  C.
6.20.2.14 L. ","Navigate to FTS--> budget entity subsite--> FYXX--> Financial Reporting--> M/Q being reviewed

Due last working day of the month following the end of the reporting period. Make note if cash report is late and discuss with SBO.",Not cause for disapproval
2,Review Prep,Picture,,Cash report PDF uploaded to FTS,"Statute
22-8-13.2
NMAC
6.20.2.10  C.
6.20.2.8  D.
6.20.2.14 L.","Navigate to FTS--> budget entity subsite--> FYXX--> Financial Reporting--> M/Q being reviewed

Ensure Cash Report PDF is signed by licensed SBO.  Analysts currently do not have access to licensure portal; however, if you have a concern, ask Vince or Sara to search the database to ensure license is active.

Due last working day of the month following the end of the reporting period. Make note if cash report is late and discuss with SBO.",Not cause for disapproval
3,Review Prep,Picture,,Bank statement(s) uploaded to FTS,"Statute
22-8-13.2
NMAC
6.20.2.10  C.
6.20.2.14 G. K. L. ","Navigate to FTS--> budget entity subsite--> FYXX--> Financial Reporting--> M/Q being reviewed

Ensure bank statements are dated the end of the reporting period being reviewed.

Due last working day of the month following the end of the reporting period. Make note if bank statements are late and discuss with SBO",Not cause for disapproval
4,Review Prep,Picture,,Actuals submitted in OBMS,"Statute
22-8-13.2
NMAC
6.20.2.10  C.","Navigate to OBMS --> Actuals module
Select Budget Year, Entity, and Reporting Period being reviewed and click Retrieve.  The submission date is found by expanding the folder, the Action column must Say ""Submit Actuals"" otherwise, the actuals have not been submitted yet.

Due last working day of the month following the end of the reporting period. Make note if cash report is late and discuss with SBO.",Not cause for disapproval unless entity asks to reopen/reupload
5,Revenue,Picture,,Run Actuals Revenue Report,"Statute
22-8-13.2
NMAC
6.20.2.10  C.","Navigate to OBMS --> Reports --> Actuals Reports --> Actuals Revenue Rollup Report
Select entity name/fiscal year in the ""Budget Year"" and the ""Actual Reporting Period"" for the period being reviewed; click ""View Report"" and export to Excel by clicking on disk icon and clicking Excel.",N/A
6,Revenue,Picture,,Open the SEG file ,,"Navigate to the FTS Main Page --> Announcements section
Open SEG file for the relevant period end, i.e. for Q1=September file, for M1=July file.",N/A
7,Revenue,Picture,,Open the SEG BAR Memo file ,,"Navigate to the FTS Main Page --> Announcements section
Open any current BAR SEG Memo file for the fiscal year in review. This generally occurs in February for the 40d Adjustment.",N/A
8,Revenue,All,Districts/ Charters,Review Current Period for negative revenue values ,"Statute
22-8-13.3 B

NMAC
6.20.2.13 D","Excel file Current Period Column: filter by negative values

Ask SBO for explanation, backup documentation is not required unless recommended by your supervisor.",Not cause for disapproval unless entity asks to reopen/reupload
9,Revenue,All,Districts/ Charters,Review YTD for negative revenue  values,"Statute
22-8-13.3 B

NMAC
6.20.2.13 D","Excel file YTD Column: filter by negative values

Ask SBO for explanation, backup documentation is not required unless recommended by your supervisor.",Not cause for disapproval unless entity asks to reopen/reupload
10,Revenue,All ,Districts/ Charters,Review Budget Balance for negative values,"NMAC
6.20.2.8 A.
6.20.2.9 A","Excel file Budget Balance Column: filter by negative values
Excel file Obj Column: filter out 41980

EXCEPTION: Not applicable to object 41980 -prior year expenditure reimbursements.

Recommend to SBO to conduct BARs for revenue received but not yet budgeted as this may cause negative budget at the function level for expenditures.
","Not cause for disapproval unless entity asks to reopen/reupload.  The more likely fix requires  BAR(s); however, revenue could potentially be posted to wrong accounts and could require J/Es."
